timestamp,sensor_id,corrente_a,corrente_b,corrente_c,desequilibrio_corrente,tensao_a,tensao_b,tensao_c,desequilibrio_tensao,fator_potencia_medio,temp_compressor,temp_camara,porta_aberta,health_score,status_risco,prejuizo_previsto
2026-05-23 13:17:32,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.5,223.0,100.0,CRITICAL,5454.28
2026-05-23 13:17:47,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.5,223.0,100.0,CRITICAL,5454.28
2026-05-23 13:21:14,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-4.4,224.0,100.0,CRITICAL,2046.3
2026-05-23 13:21:15,estoque_compressor_2,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-4.4,224.0,100.0,CRITICAL,2046.3
2026-05-23 13:22:10,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,5597.22
2026-05-23 13:22:27,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,5597.22
2026-05-23 13:23:30,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,5597.22
2026-05-23 13:24:32,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,5597.22
2026-05-23 13:28:28,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.4,223.0,100.0,CRITICAL,1895.83
2026-05-23 17:26:57,estoque_compressor_2,52.0,73.0,55.0,21.67,223.0,224.0,223.0,0.3,0.885,,-5.4,223.0,52.1,CRITICAL,1895.83
2026-05-23 13:28:58,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.4,223.0,100.0,CRITICAL,1895.83
2026-05-23 17:26:57,estoque_compressor_2,52.0,73.0,55.0,21.67,223.0,224.0,223.0,0.3,0.885,,-5.4,223.0,52.1,CRITICAL,1895.83
2026-05-23 13:30:01,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.4,223.0,100.0,CRITICAL,1895.83
2026-05-23 17:26:57,estoque_compressor_2,52.0,73.0,55.0,21.67,223.0,224.0,223.0,0.3,0.885,,-5.4,223.0,52.1,CRITICAL,1895.83
2026-05-23 13:31:04,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,1865.74
2026-05-23 17:26:57,estoque_compressor_2,52.0,73.0,55.0,21.67,223.0,224.0,223.0,0.3,0.885,,-5.6,223.0,52.1,CRITICAL,1865.74
2026-05-23 13:32:07,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-5.6,223.0,100.0,CRITICAL,1865.74
2026-05-23 17:26:57,estoque_compressor_2,52.0,73.0,55.0,21.67,223.0,224.0,223.0,0.3,0.885,,-5.6,223.0,52.1,CRITICAL,1865.74
2026-05-23 13:34:05,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-6.1,119.0,100.0,CRITICAL,5550.58
2026-05-23 13:34:08,estoque_compressor_1,110.0,180.0,125.0,30.12,220.0,220.0,220.0,0.0,0.95,,-6.1,119.0,55.0,CRITICAL,5550.58
2026-05-23 13:34:10,estoque_compressor_1,135.0,137.0,134.0,1.23,220.0,220.0,220.0,0.0,0.95,,-7.5,900.0,100.0,CRITICAL,7109.38
